리소스 아이디	파일 이름	파일 내용
re_id_c_009_13	rc/skin/c_009_13	
re_id_c_009_14	rc/skin/c_009_14	
re_id_c_009_15	rc/skin/c_009_15	
re_id_c_010_01	rc/skin/c_010_01	캐릭터 모션 10
re_id_c_010_02	rc/skin/c_010_02	
re_id_c_010_03	rc/skin/c_010_03	
re_id_c_010_04	rc/skin/c_010_04	
re_id_c_010_05	rc/skin/c_010_05	
re_id_c_010_06	rc/skin/c_010_06	
re_id_c_010_07	rc/skin/c_010_07	
re_id_c_010_08	rc/skin/c_010_08	
re_id_c_010_09	rc/skin/c_010_09	
re_id_c_010_10	rc/skin/c_010_10	
re_id_c_010_11	rc/skin/c_010_11	
re_id_c_010_12	rc/skin/c_010_12	
re_id_c_010_13	rc/skin/c_010_13	
re_id_c_010_14	rc/skin/c_010_14	
re_id_c_010_15	rc/skin/c_010_15	
re_id_c_011_01	rc/skin/c_011_01	캐릭터 모션 11
re_id_c_011_02	rc/skin/c_011_02	
re_id_c_011_03	rc/skin/c_011_03	
re_id_c_011_04	rc/skin/c_011_04	
re_id_c_011_05	rc/skin/c_011_05	
re_id_c_011_06	rc/skin/c_011_06	
re_id_c_011_07	rc/skin/c_011_07	
re_id_c_011_08	rc/skin/c_011_08	
re_id_c_011_09	rc/skin/c_011_09	
re_id_c_011_10	rc/skin/c_011_10	
re_id_c_011_11	rc/skin/c_011_11	
re_id_c_011_12	rc/skin/c_011_12	
re_id_c_011_13	rc/skin/c_011_13	
re_id_c_011_14	rc/skin/c_011_14	
re_id_c_011_15	rc/skin/c_011_15	
re_id_c_012_01	rc/skin/c_012_01	캐릭터 모션 12
re_id_c_012_02	rc/skin/c_012_02	
re_id_c_012_03	rc/skin/c_012_03	
re_id_c_012_04	rc/skin/c_012_04	
re_id_c_012_05	rc/skin/c_012_05	
re_id_c_012_06	rc/skin/c_012_06	
re_id_c_012_07	rc/skin/c_012_07	
re_id_c_012_08	rc/skin/c_012_08	
re_id_c_012_09	rc/skin/c_012_09	
re_id_c_012_10	rc/skin/c_012_10	
re_id_c_012_11	rc/skin/c_012_11	
re_id_c_012_12	rc/skin/c_012_12	
re_id_c_012_13	rc/skin/c_012_13	
re_id_c_012_14	rc/skin/c_012_14	
re_id_c_012_15	rc/skin/c_012_15	
re_id_c_013_01	rc/skin/c_013_01	캐릭터 모션 13
re_id_c_013_02	rc/skin/c_013_02	
re_id_c_013_03	rc/skin/c_013_03	
re_id_c_013_04	rc/skin/c_013_04	
re_id_c_013_05	rc/skin/c_013_05	
re_id_c_013_06	rc/skin/c_013_06	
re_id_c_013_07	rc/skin/c_013_07	
re_id_c_013_08	rc/skin/c_013_08	
re_id_c_013_09	rc/skin/c_013_09	
re_id_c_013_10	rc/skin/c_013_10	
re_id_c_013_11	rc/skin/c_013_11	
re_id_c_013_12	rc/skin/c_013_12	
re_id_c_013_13	rc/skin/c_013_13	
re_id_c_013_14	rc/skin/c_013_14	
re_id_c_013_15	rc/skin/c_013_15	
re_id_c_014_01	rc/skin/c_014_01	캐릭터 모션 14
re_id_c_014_02	rc/skin/c_014_02	
re_id_c_014_03	rc/skin/c_014_03	
re_id_c_014_04	rc/skin/c_014_04	
re_id_c_014_05	rc/skin/c_014_05	
re_id_c_014_06	rc/skin/c_014_06	
re_id_c_014_07	rc/skin/c_014_07	
re_id_c_014_08	rc/skin/c_014_08	
re_id_c_014_09	rc/skin/c_014_09	
re_id_c_014_10	rc/skin/c_014_10	
re_id_c_014_11	rc/skin/c_014_11	
re_id_c_014_12	rc/skin/c_014_12	
re_id_c_014_13	rc/skin/c_014_13	
re_id_c_014_14	rc/skin/c_014_14	
re_id_c_014_15	rc/skin/c_014_15	
re_id_c_015_01	rc/skin/c_015_01	캐릭터 모션 15
re_id_c_015_02	rc/skin/c_015_02	
re_id_c_015_03	rc/skin/c_015_03	
re_id_c_015_04	rc/skin/c_015_04	
re_id_c_015_05	rc/skin/c_015_05	
re_id_c_015_06	rc/skin/c_015_06	
re_id_c_015_07	rc/skin/c_015_07	
re_id_c_015_08	rc/skin/c_015_08	
re_id_c_015_09	rc/skin/c_015_09	
re_id_c_015_10	rc/skin/c_015_10	
re_id_c_015_11	rc/skin/c_015_11	
re_id_c_015_12	rc/skin/c_015_12	
re_id_c_015_13	rc/skin/c_015_13	
re_id_c_015_14	rc/skin/c_015_14	
re_id_c_015_15	rc/skin/c_015_15	
re_id_b_001_01	rc/skin/b_001_01	보드 모션 1
re_id_b_001_02	rc/skin/b_001_02	
re_id_b_001_03	rc/skin/b_001_03	
re_id_b_001_04	rc/skin/b_001_04	
re_id_b_001_05	rc/skin/b_001_05	
re_id_b_001_06	rc/skin/b_001_06	
re_id_b_001_07	rc/skin/b_001_07	
re_id_b_001_08	rc/skin/b_001_08	
re_id_b_001_09	rc/skin/b_001_09	
re_id_b_001_10	rc/skin/b_001_10	
re_id_b_001_11	rc/skin/b_001_11	
re_id_b_001_12	rc/skin/b_001_12	
re_id_b_001_13	rc/skin/b_001_13	
re_id_b_001_14	rc/skin/b_001_14	
re_id_b_001_15	rc/skin/b_001_15	
re_id_b_002_01	rc/skin/b_002_01	보드 모션 2
re_id_b_002_02	rc/skin/b_002_02	
re_id_b_002_03	rc/skin/b_002_03	
re_id_b_002_04	rc/skin/b_002_04	
re_id_b_002_05	rc/skin/b_002_05	
re_id_b_002_06	rc/skin/b_002_06	
re_id_b_002_07	rc/skin/b_002_07	
re_id_b_002_08	rc/skin/b_002_08	
re_id_b_002_09	rc/skin/b_002_09	
re_id_b_002_10	rc/skin/b_002_10	
re_id_b_002_11	rc/skin/b_002_11	
re_id_b_002_12	rc/skin/b_002_12	
re_id_b_002_13	rc/skin/b_002_13	
re_id_b_002_14	rc/skin/b_002_14	
re_id_b_002_15	rc/skin/b_002_15	
re_id_b_003_01	rc/skin/b_003_01	보드 모션 3
re_id_b_003_02	rc/skin/b_003_02	
re_id_b_003_03	rc/skin/b_003_03	
re_id_b_003_04	rc/skin/b_003_04	
re_id_b_003_05	rc/skin/b_003_05	
re_id_b_003_06	rc/skin/b_003_06	
re_id_b_003_07	rc/skin/b_003_07	
re_id_b_003_08	rc/skin/b_003_08	
re_id_b_003_09	rc/skin/b_003_09	
re_id_b_003_10	rc/skin/b_003_10	
re_id_b_003_11	rc/skin/b_003_11	
re_id_b_003_12	rc/skin/b_003_12	
re_id_b_003_13	rc/skin/b_003_13	
re_id_b_003_14	rc/skin/b_003_14	
re_id_b_003_15	rc/skin/b_003_15	
re_id_b_004_01	rc/skin/b_004_01	보드 모션 4
re_id_b_004_02	rc/skin/b_004_02	
re_id_b_004_03	rc/skin/b_004_03	
re_id_b_004_04	rc/skin/b_004_04	
re_id_b_004_05	rc/skin/b_004_05	
re_id_b_004_06	rc/skin/b_004_06	
re_id_b_004_07	rc/skin/b_004_07	
re_id_b_004_08	rc/skin/b_004_08	
re_id_b_004_09	rc/skin/b_004_09	
re_id_b_004_10	rc/skin/b_004_10	
re_id_b_004_11	rc/skin/b_004_11	
re_id_b_004_12	rc/skin/b_004_12	
re_id_b_004_13	rc/skin/b_004_13	
re_id_b_004_14	rc/skin/b_004_14	
re_id_b_004_15	rc/skin/b_004_15	
re_id_b_005_01	rc/skin/b_005_01	보드 모션 5
re_id_b_005_02	rc/skin/b_005_02	
re_id_b_005_03	rc/skin/b_005_03	
re_id_b_005_04	rc/skin/b_005_04	
re_id_b_005_05	rc/skin/b_005_05	
re_id_b_005_06	rc/skin/b_005_06	
re_id_b_005_07	rc/skin/b_005_07	
re_id_b_005_08	rc/skin/b_005_08	
re_id_b_005_09	rc/skin/b_005_09	
re_id_b_005_10	rc/skin/b_005_10	
re_id_b_005_11	rc/skin/b_005_11	
re_id_b_005_12	rc/skin/b_005_12	
re_id_b_005_13	rc/skin/b_005_13	
re_id_b_005_14	rc/skin/b_005_14	
re_id_b_005_15	rc/skin/b_005_15	
re_id_b_006_01	rc/skin/b_006_01	보드 모션 6
re_id_b_006_02	rc/skin/b_006_02	
re_id_b_006_03	rc/skin/b_006_03	
re_id_b_006_04	rc/skin/b_006_04	
re_id_b_006_05	rc/skin/b_006_05	
re_id_b_006_06	rc/skin/b_006_06	
re_id_b_006_07	rc/skin/b_006_07	
re_id_b_006_08	rc/skin/b_006_08	
re_id_b_006_09	rc/skin/b_006_09	
re_id_b_006_10	rc/skin/b_006_10	
re_id_b_006_11	rc/skin/b_006_11	
re_id_b_006_12	rc/skin/b_006_12	
re_id_b_006_13	rc/skin/b_006_13	
re_id_b_006_14	rc/skin/b_006_14	
re_id_b_006_15	rc/skin/b_006_15	
re_id_b_007_01	rc/skin/b_007_01	보드 모션 7
re_id_b_007_02	rc/skin/b_007_02	
re_id_b_007_03	rc/skin/b_007_03	
re_id_b_007_04	rc/skin/b_007_04	
re_id_b_007_05	rc/skin/b_007_05	
re_id_b_007_06	rc/skin/b_007_06	
re_id_b_007_07	rc/skin/b_007_07	
re_id_b_007_08	rc/skin/b_007_08	
re_id_b_007_09	rc/skin/b_007_09	
re_id_b_007_10	rc/skin/b_007_10	
re_id_b_007_11	rc/skin/b_007_11	
re_id_b_007_12	rc/skin/b_007_12	
re_id_b_007_13	rc/skin/b_007_13	
re_id_b_007_14	rc/skin/b_007_14	
re_id_b_007_15	rc/skin/b_007_15	
re_id_b_008_01	rc/skin/b_008_01	보드 모션 8
re_id_b_008_02	rc/skin/b_008_02	
re_id_b_008_03	rc/skin/b_008_03	
re_id_b_008_04	rc/skin/b_008_04	
re_id_b_008_05	rc/skin/b_008_05	
re_id_b_008_06	rc/skin/b_008_06	
re_id_b_008_07	rc/skin/b_008_07	
re_id_b_008_08	rc/skin/b_008_08	
re_id_b_008_09	rc/skin/b_008_09	
re_id_b_008_10	rc/skin/b_008_10	
re_id_b_008_11	rc/skin/b_008_11	
re_id_b_008_12	rc/skin/b_008_12	
re_id_b_008_13	rc/skin/b_008_13	
re_id_b_008_14	rc/skin/b_008_14	
re_id_b_008_15	rc/skin/b_008_15	
re_id_b_009_01	rc/skin/b_009_01	보드 모션 9
re_id_b_009_02	rc/skin/b_009_02	
re_id_b_009_03	rc/skin/b_009_03	
re_id_b_009_04	rc/skin/b_009_04	
re_id_b_009_05	rc/skin/b_009_05	
re_id_b_009_06	rc/skin/b_009_06	
re_id_b_009_07	rc/skin/b_009_07	
re_id_b_009_08	rc/skin/b_009_08	
re_id_b_009_09	rc/skin/b_009_09	
re_id_b_009_10	rc/skin/b_009_10	
re_id_b_009_11	rc/skin/b_009_11	
re_id_b_009_12	rc/skin/b_009_12	
re_id_b_009_13	rc/skin/b_009_13	
re_id_b_009_14	rc/skin/b_009_14	
re_id_b_009_15	rc/skin/b_009_15	
re_id_b_010_01	rc/skin/b_010_01	보드 모션 10
re_id_b_010_02	rc/skin/b_010_02	
re_id_b_010_03	rc/skin/b_010_03	
re_id_b_010_04	rc/skin/b_010_04	
re_id_b_010_05	rc/skin/b_010_05	
re_id_b_010_06	rc/skin/b_010_06	
re_id_b_010_07	rc/skin/b_010_07	
re_id_b_010_08	rc/skin/b_010_08	
re_id_b_010_09	rc/skin/b_010_09	
re_id_b_010_10	rc/skin/b_010_10	
re_id_b_010_11	rc/skin/b_010_11	
re_id_b_010_12	rc/skin/b_010_12	
re_id_b_010_13	rc/skin/b_010_13	
re_id_b_010_14	rc/skin/b_010_14	
re_id_b_010_15	rc/skin/b_010_15	
re_id_b_011_01	rc/skin/b_011_01	보드 모션 11
re_id_b_011_02	rc/skin/b_011_02	
re_id_b_011_03	rc/skin/b_011_03	
re_id_b_011_04	rc/skin/b_011_04	
re_id_b_011_05	rc/skin/b_011_05	
re_id_b_011_06	rc/skin/b_011_06	
re_id_b_011_07	rc/skin/b_011_07	
re_id_b_011_08	rc/skin/b_011_08	
re_id_b_011_09	rc/skin/b_011_09	
re_id_b_011_10	rc/skin/b_011_10	
re_id_b_011_11	rc/skin/b_011_11	
re_id_b_011_12	rc/skin/b_011_12	
re_id_b_011_13	rc/skin/b_011_13	
re_id_b_011_14	rc/skin/b_011_14	
re_id_b_011_15	rc/skin/b_011_15	
re_id_b_012_01	rc/skin/b_012_01	보드 모션 12
re_id_b_012_02	rc/skin/b_012_02	
re_id_b_012_03	rc/skin/b_012_03	
re_id_b_012_04	rc/skin/b_012_04	
re_id_b_012_05	rc/skin/b_012_05	
re_id_b_012_06	rc/skin/b_012_06	
re_id_b_012_07	rc/skin/b_012_07	
re_id_b_012_08	rc/skin/b_012_08	
re_id_b_012_09	rc/skin/b_012_09	
re_id_b_012_10	rc/skin/b_012_10	
re_id_b_012_11	rc/skin/b_012_11	
re_id_b_012_12	rc/skin/b_012_12	
re_id_b_012_13	rc/skin/b_012_13	
re_id_b_012_14	rc/skin/b_012_14	
re_id_b_012_15	rc/skin/b_012_15	
re_id_b_013_01	rc/skin/b_013_01	보드 모션 13
re_id_b_013_02	rc/skin/b_013_02	
re_id_b_013_03	rc/skin/b_013_03	
re_id_b_013_04	rc/skin/b_013_04	
re_id_b_013_05	rc/skin/b_013_05	
re_id_b_013_06	rc/skin/b_013_06	
re_id_b_013_07	rc/skin/b_013_07	
re_id_b_013_08	rc/skin/b_013_08	
re_id_b_013_09	rc/skin/b_013_09	
re_id_b_013_10	rc/skin/b_013_10	
re_id_b_013_11	rc/skin/b_013_11	
re_id_b_013_12	rc/skin/b_013_12	
re_id_b_013_13	rc/skin/b_013_13	
re_id_b_013_14	rc/skin/b_013_14	
re_id_b_013_15	rc/skin/b_013_15	
re_id_b_014_01	rc/skin/b_014_01	보드 모션 14
re_id_b_014_02	rc/skin/b_014_02	
re_id_b_014_03	rc/skin/b_014_03	
re_id_b_014_04	rc/skin/b_014_04	
re_id_b_014_05	rc/skin/b_014_05	
re_id_b_014_06	rc/skin/b_014_06	
re_id_b_014_07	rc/skin/b_014_07	
re_id_b_014_08	rc/skin/b_014_08	
re_id_b_014_09	rc/skin/b_014_09	
re_id_b_014_10	rc/skin/b_014_10	
re_id_b_014_11	rc/skin/b_014_11	
re_id_b_014_12	rc/skin/b_014_12	
re_id_b_014_13	rc/skin/b_014_13	
re_id_b_014_14	rc/skin/b_014_14	
re_id_b_014_15	rc/skin/b_014_15	
re_id_b_015_01	rc/skin/b_015_01	보드 모션 15
re_id_b_015_02	rc/skin/b_015_02	
re_id_b_015_03	rc/skin/b_015_03	
re_id_b_015_04	rc/skin/b_015_04	
re_id_b_015_05	rc/skin/b_015_05	
re_id_b_015_06	rc/skin/b_015_06	
re_id_b_015_07	rc/skin/b_015_07	
re_id_b_015_08	rc/skin/b_015_08	
re_id_b_015_09	rc/skin/b_015_09	
re_id_b_015_10	rc/skin/b_015_10	
re_id_b_015_11	rc/skin/b_015_11	
re_id_b_015_12	rc/skin/b_015_12	
re_id_b_015_13	rc/skin/b_015_13	
re_id_b_015_14	rc/skin/b_015_14	
re_id_b_015_15	rc/skin/b_015_15	
