로컬 아이디	한국어	영어
local_id_cktaste_016	생쥐 아닙니다. 프랑스 요리입니다. 그냥 볶아도 되지만 예쁘게 플레이팅하면 더 맛있을지도? 야채만 넣던 원래 라따뚜이 레시피에 어린냥이가 좋아하는 다진 소고기를 소스에 추가했다.	-1
//퀘스트 이름		-1
local_id_q_01	단련된 하체{0}	-1
local_id_q_02	느려{0}	-1
local_id_q_03	저금을 했다면{0}	-1
local_id_q_04	프로 심부름꾼{0}	-1
local_id_q_05	코스튬플레이어{0}	-1
local_id_q_06	엄마는 요리사{0}	-1
local_id_q_07	마라토너{0}	-1
//퀘스트 설명		-1
local_id_qstDsc_01	점프 횟수 누적 {0}회	-1
local_id_qstDsc_02	야채 피하기 누적 {0}회	-1
local_id_qstDsc_03	조개 {0}냥 누적 획득	-1
local_id_qstDsc_04	야채 {0}회 누적 구매	-1
local_id_qstDsc_05	코스튬 총 {0}개 구매	-1
local_id_qstDsc_06	엄마의 요리 {0}개 만들기	-1
local_id_qstDsc_07	이어 달리기 누적 {0}회	-1
//할매 대사		-1
local_id_grmscrt_01	어서 오시게냥~	-1
local_id_grmscrt_02	다 고르고 말 거냥?	-1
local_id_grmscrt_03	장사만 40년 했다냥	-1
local_id_grmscrt_04	반갑다냥~	-1
local_id_grmscrt_05	일단 골라봐라냥	-1
local_id_grmscrt_06	직접 기른 거다냥	-1
local_id_grmscrt_07	또 왔구냥?	-1
local_id_grmscrt_08	아주 싱싱하다냥~	-1
local_id_grmscrt_09	비가 오려냥~..	-1
local_id_grmscrt_10	오늘도 심부름이냥?	-1
local_id_grmscrt_11	편하게 골라라냥	-1
local_id_grmscrt_12	어린데 기특하구냥	-1
local_id_grmscrt_13	안마가 시원하구냥~	-1
local_id_grmscrt_14	어린냥이 왔냥?	-1
local_id_grmscrt_15	자주 놀러오라냥	-1
local_id_grmscrt_16	재밌는 일 없냥?	-1
local_id_grmscrt_17	많이 담았다냥~	-1
local_id_grmscrt_18	기다리고 있었다냥~	-1
local_id_grmscrt_19	사탕 줄까냥?	-1
local_id_grmscrt_20	많다고? 다 먹어냥~	-1
local_id_grmscrt_21	말동무만 해줘도 좋다냥	-1
//게임 팁		-1
local_id_tip_01	야채가게 할머니는 안마를 좋아해요.	-1
local_id_tip_02	상점의 상품은 n마다 바뀌기 때문에 수시로 확인하는 것이 좋아요.	-1
local_id_tip_03	재료의 등급에 따라 상점에 등장할 확률은 달라져요.	-1
local_id_tip_04	팁4	-1
local_id_tip_05	팁5	-1
local_id_tip_06	팁6	-1
local_id_tip_07	팁7	-1
local_id_tip_08	팁8	-1
local_id_tip_09	팁9	-1
local_id_tip_10	팁10	-1
//스킨 이름		-1
local_id_skin_001	어린냥이	-1
local_id_skin_002	유치원복 어린냥이	-1
local_id_skin_003	생일잔치 어린냥이	-1
local_id_skin_004	마린룩 어린냥이	-1
local_id_skin_005	노란리본 어린냥이	-1
local_id_skin_006	카우보이 어린냥이	-1
local_id_skin_007	밀짚모자 어린냥이	-1
local_id_skin_008	멋진신사 어린냥이	-1
local_id_skin_009	화가 어린냥이	-1
local_id_skin_010	분홍벚꽃 어린냥이	-1
local_id_skin_011	어릿광대 어린냥이	-1
local_id_skin_012	스포티룩 어린냥이	-1
local_id_skin_013	킹왕짱 어린냥이	-1
local_id_skin_014	장난감병정 어린냥이	-1
local_id_skin_015	분홍겨울 어린냥이	-1
//스킨 설명		-1
local_id_sknDsc_000	??? ???	-1
local_id_sknDsc_001	튜냥의 끝은 순정?\n순정 가득 기본 어린냥이!	-1
local_id_sknDsc_002	노란 모자와 카라가 포인트!\n귀여운 병아리 같아!	-1
local_id_sknDsc_003	생일에 진심인 어린냥이\n모자와 망토는 깔맞춤!	-1
local_id_sknDsc_004	청량한 파도소리\n파란 물결을 담은 마린룩!	-1
local_id_sknDsc_005	노란 리본이 나비처럼 흔들린다.\n귀여움 +9999999	-1
local_id_sknDsc_006	석양이 진다...\n카리스마 넘치는 어린냥이.	-1
local_id_sknDsc_007	너 내 동료가 돼라!\n멋진 모험을 위한 밀짚모자!	-1
local_id_sknDsc_008	나는야 멋쟁이 신사.\n굉장히 매너 있게 느껴진다.	-1
local_id_sknDsc_009	천재 화가가 된 어린냥이.\n빨간 베레모는 화가의 상징!	-1
local_id_sknDsc_010	떨어지는 벚꽃을 잡으면 사랑이 이루어진대!	-1
local_id_sknDsc_011	귀여운 어릿광대 등장!\n엄청난 보드 묘기다!	-1
local_id_sknDsc_012	노랑 볼캡과 초록 카라로 시원한 느낌! 여름이 왔구나~	-1
local_id_sknDsc_013	왕을 위한 보석들이 반짝반짝 빛난다.	-1
local_id_sknDsc_014	호두까기 인형 못지않은 강력함을 가진 어린냥이!	-1
local_id_sknDsc_015	분홍색 털모자와 목도리로 보온과 귀여움을 모두 잡았다.	-1
