퀘스트 아이디	구분	퀘스트이름	퀘스트 설명	퀘스트 조건	조건 값		보상 조건	조건값1	조건값2	보상 아이콘	다음 퀘스트 아이디
qid_stuff_01	야채 {0}회 누적 구매	local_id_q_04	local_id_qstDsc_04	qstcndtid_04	5	-1	rewardid_1	100	-1	-1	qid_stuff_02
qid_stuff_02		local_id_q_04	local_id_qstDsc_04	qstcndtid_04	10	-1	rewardid_1	100	-1	-1	qid_stuff_03
qid_stuff_03		local_id_q_04	local_id_qstDsc_04	qstcndtid_04	20	-1	rewardid_1	100	-1	-1	qid_stuff_04
qid_stuff_04		local_id_q_04	local_id_qstDsc_04	qstcndtid_04	35	-1	rewardid_1	100	-1	-1	qid_stuff_05
qid_stuff_05		local_id_q_04	local_id_qstDsc_04	qstcndtid_04	55	-1	rewardid_1	100	-1	-1	qid_stuff_06
qid_stuff_06		local_id_q_04	local_id_qstDsc_04	qstcndtid_04	80	-1	rewardid_1	100	-1	-1	qid_stuff_07
qid_stuff_07		local_id_q_04	local_id_qstDsc_04	qstcndtid_04	120	-1	rewardid_1	100	-1	-1	qid_stuff_08
qid_stuff_08		local_id_q_04	local_id_qstDsc_04	qstcndtid_04	155	-1	rewardid_1	100	-1	-1	qid_stuff_09
qid_stuff_09		local_id_q_04	local_id_qstDsc_04	qstcndtid_04	195	-1	rewardid_1	100	-1	-1	qid_stuff_10
qid_stuff_10		local_id_q_04	local_id_qstDsc_04	qstcndtid_04	250	-1	rewardid_1	100	-1	-1	-1
qid_skin_01	코스튬 총 {0}개 구매	local_id_q_05	local_id_qstDsc_05	qstcndtid_05	1	-1	rewardid_1	100	-1	-1	qid_skin_02
qid_skin_02		local_id_q_05	local_id_qstDsc_05	qstcndtid_05	3	-1	rewardid_1	100	-1	-1	qid_skin_03
qid_skin_03		local_id_q_05	local_id_qstDsc_05	qstcndtid_05	5	-1	rewardid_1	100	-1	-1	qid_skin_04
qid_skin_04		local_id_q_05	local_id_qstDsc_05	qstcndtid_05	7	-1	rewardid_1	100	-1	-1	qid_skin_05
qid_skin_05		local_id_q_05	local_id_qstDsc_05	qstcndtid_05	9	-1	rewardid_1	100	-1	-1	-1
qid_cook_01	엄마의 요리 {0}개 만들기	local_id_q_06	local_id_qstDsc_06	qstcndtid_06	1	-1	rewardid_1	100	-1	-1	qid_cook_02
qid_cook_02		local_id_q_06	local_id_qstDsc_06	qstcndtid_06	3	-1	rewardid_1	100	-1	-1	qid_cook_03
qid_cook_03		local_id_q_06	local_id_qstDsc_06	qstcndtid_06	5	-1	rewardid_1	100	-1	-1	qid_cook_04
qid_cook_04		local_id_q_06	local_id_qstDsc_06	qstcndtid_06	7	-1	rewardid_1	100	-1	-1	qid_cook_05
qid_cook_05		local_id_q_06	local_id_qstDsc_06	qstcndtid_06	9	-1	rewardid_1	100	-1	-1	-1
qid_adrun_01	이어 달리기 누적 {0}회	local_id_q_07	local_id_qstDsc_07	qstcndtid_07	1	-1	rewardid_1	100	-1	-1	qid_adrun_02
qid_adrun_02		local_id_q_07	local_id_qstDsc_07	qstcndtid_07	3	-1	rewardid_1	100	-1	-1	qid_adrun_03
qid_adrun_03		local_id_q_07	local_id_qstDsc_07	qstcndtid_07	5	-1	rewardid_1	100	-1	-1	qid_adrun_04
qid_adrun_04		local_id_q_07	local_id_qstDsc_07	qstcndtid_07	7	-1	rewardid_1	100	-1	-1	qid_adrun_05
qid_adrun_05		local_id_q_07	local_id_qstDsc_07	qstcndtid_07	9	-1	rewardid_1	100	-1	-1	-1
